Index,Region/Cuisine,Chinese Name,English Name,Key Ingredients,Cooking Steps
241,American,汉堡,Hamburger,"Ground beef, Bun, Lettuce, Tomato, Cheddar cheese, Ketchup, Mustard, Onion, Pickle, Salt, Black pepper","1. Season ground beef with salt and pepper, form into patties. 2. Grill or pan-fry patties 3-4 min per side. 3. Add cheese in last minute. 4. Toast buns. 5. Layer lettuce, tomato, onion, pickle on bun. 6. Add patty and condiments. Serve."
242,American,芝士通心粉,Mac and Cheese,"Elbow macaroni, Butter, Flour, Milk, Cheddar cheese, Salt, Black pepper, Nutmeg","1. Cook macaroni until al dente; drain. 2. Melt butter in saucepan, whisk in flour (2 min). 3. Gradually add milk, stir until thickened. 4. Add cheese, stir until melted. 5. Season with salt, pepper, nutmeg. 6. Toss with pasta. Serve hot."
243,American,烧烤排骨,BBQ Ribs,"Pork ribs, BBQ sauce, Garlic powder, Onion powder, Paprika, Brown sugar, Salt, Black pepper","1. Mix dry rub (garlic powder, onion powder, paprika, brown sugar, salt, pepper). 2. Coat ribs generously with rub. 3. Wrap in foil, bake at 150°C for 3 hrs. 4. Unwrap, brush with BBQ sauce. 5. Grill or broil 5-10 min until caramelized. Serve."
244,American,蛤蜊浓汤,Clam Chowder,"Clams, Bacon, Potato, Onion, Celery, Butter, Flour, Heavy cream, Salt, Thyme, Bay leaf","1. Cook bacon until crisp; set aside. 2. Sauté onion and celery in butter. 3. Add flour, stir 1 min. 4. Add clam juice and potato; simmer until soft. 5. Add clams and cream; heat gently. 6. Season with salt and thyme. 7. Top with bacon. Serve with bread."
245,American,苹果派,Apple Pie,"Apple, Flour, Butter, Sugar, Cinnamon, Lemon juice, Salt, Egg, Cold water","1. Make crust: mix flour, salt, butter; add cold water; form dough, chill. 2. Peel and slice apples, toss with sugar, cinnamon, lemon juice. 3. Roll out half dough, fit into pie dish. 4. Fill with apple mixture. 5. Cover with second crust, crimp edges, cut vents. 6. Brush with egg wash. 7. Bake 200°C for 45-50 min until golden."
246,Indonesian,印尼炒饭,Nasi Goreng,"Cooked rice (day-old), Egg, Dried shrimp, Kecap manis, Garlic, Shallot, Chili, Shrimp paste, Green onion, Salt","1. Blend shallot, garlic, chili, shrimp paste into paste. 2. Fry paste in oil 2 min. 3. Add dried shrimp; fry 1 min. 4. Add cold rice; stir-fry on high heat. 5. Add kecap manis; toss well. 6. Season with salt. 7. Push rice aside, fry egg sunny-side up. 8. Top rice with egg and green onion. Serve."
247,Indonesian,仁当牛肉,Beef Rendang,"Beef, Coconut milk, Lemongrass, Shallot, Garlic, Turmeric, Chili, Galangal, Desiccated coconut, Salt","1. Blend shallot, garlic, chili, galangal, turmeric into paste. 2. Fry paste with lemongrass until fragrant. 3. Add beef; coat with paste. 4. Add coconut milk; bring to boil. 5. Simmer on low heat 2-3 hrs, stirring occasionally, until liquid evaporates and beef is dark and tender. 6. Add toasted coconut. Season with salt. Serve with rice."
248,Indonesian,沙爹鸡肉串,Chicken Satay,"Chicken, Peanut butter, Coconut milk, Kecap manis, Turmeric, Cumin, Lime juice, Chili, Salt","1. Mix turmeric, cumin, kecap manis, lime juice, salt for marinade. 2. Cube chicken; marinate 1+ hr. 3. Thread onto skewers. 4. Grill on high heat 3-4 min per side. 5. Make peanut sauce: mix peanut butter, coconut milk, chili, lime juice; heat until smooth. 6. Serve skewers with peanut sauce."
249,Indonesian,印尼花生蔬菜沙拉,Gado-Gado,"Tofu, Hard-boiled egg, Potato, Bean sprout, Long beans, Peanut sauce, Coconut milk, Shrimp crackers, Cucumber, Lime","1. Boil potato until tender; slice. 2. Blanch long beans and bean sprouts (2 min); drain. 3. Fry or bake tofu until golden. 4. Arrange all vegetables, tofu, and sliced egg on plate. 5. Make peanut sauce: blend peanuts, chili, garlic, lime, coconut milk; heat. 6. Pour sauce over salad. 7. Top with shrimp crackers. Serve."
250,Indonesian,印尼鸡汤,Soto Ayam,"Chicken, Rice vermicelli, Lemongrass, Turmeric, Galangal, Garlic, Shallot, Bean sprout, Hard-boiled egg, Salt, Fried shallots","1. Boil chicken in water with lemongrass, galangal until cooked (30 min). 2. Remove chicken; shred meat. 3. Blend shallot, garlic, turmeric into paste; fry until fragrant. 4. Add to broth; simmer 15 min. Season with salt. 5. Soak vermicelli; drain. 6. Blanch bean sprouts. 7. Serve broth over noodles, topped with chicken, egg, bean sprouts and fried shallots."
